,thk_00,thk_01,thk_02,thk_03,rho0_00,rho0_01,rho0_02,rho0_03,rho0_04,max_pha_00,max_pha_01,max_pha_02,max_pha_03,max_pha_04,tau_phi_00,tau_phi_01,tau_phi_02,tau_phi_03,tau_phi_04,c_00,c_01,c_02,c_03,c_04
dB/dt tg01,3.6845566648421915e-06,1.1794366065321848e-06,1.2645323211877755e-06,-1.8464720142877972e-06,-2.1585834242921928e-08,-5.020340993957444e-10,-9.075572583545521e-10,8.211117558731044e-09,-5.8204614547446016e-08,-0.0006555573394357834,3.1429470794885777e-06,4.682022759650846e-06,8.302313242094513e-05,0.000325630414044107,-0.3449409158565695,3.109434780830371e-05,2.2124484258762142e-05,-7.8218212551664825,0.16633056837613958,-7.796255710631136e-07,-2.2558213107740458e-07,-9.218201413080212e-07,0.0009358790253665017,-3.413968957208929e-05
dB/dt tg02,4.543617771114515e-06,2.298692134324241e-06,2.2867341759019783e-06,-2.5906892134543385e-06,-2.546555472919548e-08,-4.3504889157247384e-10,8.874053878242146e-10,5.374919197950305e-09,-1.832063277478467e-08,-0.0004116954879559138,2.6801823527020507e-06,-1.8525983490659628e-06,-6.389722856850378e-05,8.552512122573911e-05,-0.28058737741881623,2.5866717367148942e-05,1.844824349390204e-05,-3.7126049393074068,0.05350816959682429,-3.1721345656498025e-07,-2.0818542291584008e-07,9.037929315288146e-07,0.0005679643252081657,-8.913046019146804e-06
dB/dt tg03,9.28479400277755e-07,6.258957808661628e-07,6.47909207376168e-07,-8.359189449231779e-07,9.686764286939842e-10,-1.6532067324758746e-10,-1.8773139848226687e-10,3.412579993051988e-09,-2.4481722988829493e-08,-0.00029762695315549767,9.466276861147318e-07,1.12125525331543e-06,2.6491103166964945e-05,0.00012852949534458984,-0.22929448880140657,2.2227074993169764e-05,1.596805393532781e-05,-2.8589249311901983,0.06986623213352312,4.016225806810833e-07,9.777696961658252e-09,-1.3835126678077541e-07,0.00038944108605987274,-1.4214460994594733e-05
dB/dt tg04,-1.3574832254049852e-06,-5.161714502259665e-07,-4.71013622022828e-07,3.620046997867784e-07,1.633247777985953e-08,1.0797045451403289e-11,-9.082689641530056e-10,1.9549873699743873e-09,-2.714797539432322e-08,-0.0002046998382122054,-1.7494669675716767e-07,3.1290930864431583e-06,8.480761514224124e-05,0.00015040987985273394,-0.17369446573493752,1.863194522108966e-05,1.3433334270113717e-05,-2.2244189532112193,0.07663417505963657,7.955403588336126e-07,1.4153587729441617e-07,-8.442708263193424e-07,0.0002521476660658903,-1.690743848311695e-05
dB/dt tg05,5.548875129812656e-07,4.61190771398206e-07,4.5839111871702265e-07,-5.02975733534363e-07,3.6687882953980757e-10,-7.066750560528994e-11,1.538883868812023e-10,1.2894707791522899e-09,-6.785295043925663e-09,-0.00011834413964510064,3.5972769704873866e-07,-3.67788524906542e-07,-7.666194320437497e-06,2.981717560899821e-05,-0.12130079056673947,1.5333849058667778e-05,1.0948468690412221e-05,-0.8501391645800067,0.019307448329039006,5.072740895154884e-07,3.80444297997974e-08,2.0076096578770492e-07,0.00014032132767637293,-3.662592508756702e-06
dB/dt tg06,6.930050625137232e-07,5.019727818417951e-07,4.919640166789471e-07,-5.128138642013969e-07,-1.8286362512746868e-09,-6.42116436312651e-11,2.850956448563989e-10,8.699782915251326e-10,-2.0052871365947665e-09,-7.765170256512802e-05,3.2954377137376445e-07,-8.466322415931745e-07,-2.0256252015881996e-05,3.455107158221172e-06,-0.08941000118966756,1.313428014887887e-05,9.31352084066012e-06,-0.4201860069202037,0.0057416577368993825,4.2149817117077803e-07,2.5522392296752475e-08,3.2508488755402836e-07,8.838515195006248e-05,-7.325741521012944e-07
dB/dt tg07,-7.707533633214314e-10,1.1348006252090522e-07,1.1483275267813154e-07,-1.2627555533377927e-07,2.538120208318972e-09,-1.6198497745720694e-11,-1.0543113897008533e-11,5.577955060035671e-10,-4.416144445642241e-09,-5.830856273739022e-05,3.0960731818256616e-08,5.40814282931774e-08,3.827873576053647e-06,2.0360712155656303e-05,-0.06908900696317724,1.1573486550377933e-05,8.172635457315078e-06,-0.4136570038105624,0.012366148825942782,4.4838412974751827e-07,5.7004232405946304e-08,2.8339692452016603e-08,6.349879470545163e-05,-2.5617049513192317e-06
dB/dt tg08,-3.1560928119716586e-07,-7.942705448356779e-08,-7.303855534515616e-08,7.276202618766857e-08,4.138692667667065e-09,8.114485192051487e-12,-1.4673308614451171e-10,3.272569104749936e-10,-4.859604691430437e-09,-4.059226021534529e-05,-1.148233705416429e-07,4.6503467442134827e-07,1.4447851350370947e-05,2.49969823787476e-05,-0.05001535695044621,9.97205837032568e-06,6.984874306636724e-06,-0.3465748168525321,0.013531739592655245,4.0955275853840507e-07,6.649210187023078e-08,-1.1220915579394582e-07,4.229996286227542e-05,-3.0184088562912465e-06
dB/dt tg09,-1.0049187586813865e-07,6.217684334523047e-09,7.834696703317704e-09,-5.177528345445373e-09,1.9437034506989177e-09,1.1817084520508784e-13,-4.0106726610187177e-11,2.0756836170325677e-10,-2.3000047687949e-09,-2.499963482341395e-05,-5.3669831251819136e-08,1.1733436699265291e-07,4.717617653153185e-06,1.0796739533044642e-05,-0.033937915243811116,8.453573038293952e-06,5.8382798742769596e-06,-0.17665940727559074,0.006348593537146655,2.9548966775000285e-07,4.711879712537276e-08,-1.3010052269972686e-08,2.4920846089550484e-05,-1.387240303853503e-06
dB/dt tg10,1.2055739261699016e-07,1.0496224630669631e-07,1.0193031696302194e-07,-1.0295526894087758e-07,-3.9452757143533975e-11,-1.0222502295618494e-11,6.851241903816865e-11,1.5742610114025404e-10,-2.2123778432914684e-10,-1.6021294240326136e-05,1.9585830823948215e-08,-2.31582703726522e-07,-4.843315525974479e-06,-1.080112804175554e-06,-0.024361976567811073,7.40360947554657e-06,5.041965341709823e-06,-0.057859656039050335,0.0005363002903431085,2.0575186904520546e-07,2.9532242319875938e-08,9.009502004840321e-08,1.5262121826810024e-05,-3.0563701424938684e-08
