lowerBHcairn	2619261.7808	1146966.2321	2337.9110
swiss-topnewr1	2619258.2391	1146967.3905	2338.7159
swiss-topo-rock1	2619212.8805	1146987.9142	2332.7110
swiss-topo-rock	2619212.8809	1146987.8945	2332.7118
DEPO-rock-hole1	2619253.2913	1147000.9429	2336.9639
DEPO-rock-hole	2619253.2965	1147000.9576	2336.9608
RTCM-Ref 0582	2619255.2798	1146998.2393	2332.5804
Pt_105	7.6894	46.4738	2390.4625
Pt_104	7.6894	46.4737	2394.2009
Pt_103	7.6894	46.4736	2396.1548
Pt_102	7.6894	46.4736	2396.1405
Pt_101	7.6893	46.4731	2428.5017
Pt_100	7.6893	46.4731	2427.4938
Pt_99	7.6893	46.4732	2426.4165
Pt_98	7.6893	46.4732	2425.2002
Pt_97	7.6893	46.4732	2424.1391
Pt_96	7.6893	46.4732	2423.0429
Pt_95	7.6893	46.4732	2421.9776
Pt_94	7.6893	46.4732	2420.9074
Pt_93	7.6893	46.4732	2419.8491
Pt_92	7.6893	46.4733	2418.6844
Pt_91	7.6893	46.4733	2417.6701
Pt_90	7.6893	46.4733	2416.4581
Pt_89	7.6893	46.4733	2415.4864
Pt_88	7.6893	46.4733	2414.3275
Pt_87	7.6893	46.4733	2413.3435
Pt_86	7.6893	46.4733	2412.2715
Pt_85	7.6893	46.4734	2411.1667
Pt_84	7.6893	46.4734	2410.0180
Pt_83	7.6893	46.4734	2409.1874
Pt_82	7.6893	46.4734	2408.1909
Pt_81	7.6894	46.4734	2406.9558
Pt_80	7.6894	46.4734	2406.0064
Pt_79	7.6894	46.4735	2405.0144
Pt_78	7.6894	46.4735	2403.9731
Pt_77	7.6894	46.4735	2403.0041
Pt_76	7.6894	46.4735	2402.1524
Pt_75	7.6894	46.4735	2401.2376
Pt_74	7.6894	46.4735	2400.3080
Pt_73	7.6894	46.4735	2399.5643
Pt_72	7.6894	46.4736	2398.6707
Pt_71	7.6894	46.4736	2397.9581
Pt_70	7.6894	46.4736	2397.0178
Pt_69	7.6894	46.4736	2396.2396
Pt_68	7.6894	46.4736	2395.4667
Pt_67	7.6894	46.4736	2394.6975
Pt_66	7.6894	46.4737	2394.0139
Pt_65	7.6894	46.4737	2393.2702
Pt_64	7.6894	46.4737	2392.6396
Pt_63	7.6894	46.4737	2392.0264
Pt_62	7.6894	46.4737	2391.4238
Pt_61	7.6895	46.4737	2390.8138
Pt_60	7.6895	46.4738	2390.4081
Pt_59	7.6895	46.4738	2389.9357
Pt_58	7.6895	46.4738	2389.4553
Pt_57	7.6895	46.4738	2389.1773
Pt_56	7.6895	46.4738	2389.0972
Pt_55	7.6895	46.4738	2389.2263
Pt_54	7.6895	46.4739	2389.1080
Pt_53	7.6893	46.4741	2389.7232
Pt_52	7.6893	46.4741	2389.8077
Pt_51	7.6901	46.4733	2404.2795
Pt_50	7.6901	46.4733	2404.2816
Pt_49	7.6900	46.4733	2403.3894
Pt_48	7.6900	46.4733	2402.7823
Pt_47	7.6900	46.4733	2402.6595
Pt_46	7.6900	46.4733	2402.4736
Pt_45	7.6899	46.4734	2402.1325
Pt_44	7.6899	46.4734	2401.6183
Pt_43	7.6899	46.4734	2400.6691
Pt_42	7.6898	46.4734	2400.3165
Pt_41	7.6898	46.4734	2400.2625
Pt_40	7.6898	46.4734	2400.3840
Pt_39	7.6897	46.4734	2400.5125
Pt_38	7.6897	46.4735	2400.0211
Pt_37	7.6897	46.4735	2399.6721
Pt_36	7.6896	46.4735	2399.6323
Pt_35	7.6896	46.4735	2399.2523
Pt_34	7.6896	46.4735	2398.7704
Pt_33	7.6895	46.4735	2398.3419
Pt_32	7.6895	46.4735	2398.0789
Pt_31	7.6895	46.4736	2397.5418
Pt_30	7.6894	46.4736	2397.2121
Pt_29	7.6894	46.4736	2396.9285
Pt_28	7.6894	46.4736	2396.5710
Pt_27	7.6893	46.4736	2396.3425
Pt_26	7.6893	46.4736	2396.0007
Pt_25	7.6893	46.4737	2395.4938
Pt_24	7.6893	46.4737	2394.7770
Pt_23	7.6892	46.4737	2393.9591
Pt_22	7.6892	46.4737	2393.7153
Pt_21	7.6892	46.4737	2393.4448
Pt_20	7.6891	46.4737	2393.3561
Pt_19	7.6891	46.4737	2393.3069
Pt_18	7.6891	46.4738	2393.1979
Pt_17	7.6890	46.4738	2393.1218
Pt_16	7.6890	46.4738	2393.0406
Pt_15	7.6890	46.4738	2392.5888
Pt_14	7.6889	46.4738	2392.0115
Pt_13	7.6889	46.4738	2391.6904
Pt_12	7.6889	46.4738	2391.1114
Pt_11	7.6888	46.4739	2390.5526
Pt_10	7.6888	46.4739	2389.7162
Pt_9	7.6888	46.4739	2388.7650
Pt_8	7.6887	46.4739	2387.8144
Pt_7	7.6887	46.4739	2386.4958
Pt_6	7.6887	46.4739	2386.1524
Pt_5	7.6886	46.4739	2385.4049
Pt_4	7.6886	46.4739	2385.4317
Pt_3	7.6886	46.4739	2385.1137
Pt_2	7.6888	46.4740	2385.5226
Pt_1	7.6893	46.4741	2389.7342
TEM006	2578537.6869	1182500.0781	643.6009
TEM005	2578531.2897	1182497.2144	632.1809
TEM004	2578530.9093	1182495.3066	632.1815
TEM003	2578530.2160	1182495.4259	632.1625
TEM002	2578530.5826	1182497.2856	632.1787
RTCM-Ref 2624	2578535.5012	1182501.1467	639.3392
TEM001	2578537.3644	1182501.5503	644.5537
GS0001	2578533.3401	1182493.0843	633.7378
