time(s),signal_pred(V/m2),signal_obs(V/m2),err_obs(V/m2),err_scl(V/m2),rhoa_pred(V/m2),rhoa_obs(V/m2)
5.070000e-06,1.971013657e-05,4.950977778e-04,9.481022222e-07,5.446075556e-05,5.487204324e+02,6.406000000e+01
6.070000e-06,7.819591657e-06,1.884177778e-04,5.390133333e-07,2.072595556e-05,7.528705084e+02,9.028000000e+01
7.080000e-06,4.587613476e-06,7.188666667e-05,3.199822222e-07,7.907533333e-06,8.312101618e+02,1.328400000e+02
8.520000e-06,2.868727882e-06,1.722364444e-05,1.575493333e-07,1.894600889e-06,8.348951261e+02,2.528700000e+02
1.053000e-05,5.069137986e-07,1.000400000e-06,8.216400000e-08,1.100440000e-07,1.862748086e+03,1.184080000e+03
1.255000e-05,-1.059957470e-07,-4.475377778e-07,6.536311111e-08,4.922915556e-08,-3.946623072e+03,-1.511410000e+03
1.456000e-05,-8.559017990e-10,-1.518093333e-08,6.047955556e-08,1.669902667e-09,-7.654894958e+04,-1.126030000e+04
1.744000e-05,3.064218230e-08,3.793866667e-07,5.104044444e-08,5.104044444e-08,5.216352013e+03,9.748300000e+02
2.146000e-05,-1.030286301e-07,6.035200000e-07,4.544622222e-08,6.638720000e-08,-1.644886769e+03,5.060900000e+02
2.549000e-05,-2.001549383e-07,6.299422222e-07,4.466266667e-08,6.929364444e-08,-7.930432770e+02,3.693200000e+02
2.950000e-05,-1.681755339e-07,5.898533333e-07,3.892266667e-08,6.488386667e-08,-6.981449218e+02,3.023500000e+02
3.528000e-05,-7.302524021e-08,5.063955556e-07,3.693644444e-08,5.570351111e-08,-9.035687376e+02,2.485100000e+02
4.330000e-05,-5.642245220e-08,4.409777778e-07,3.427600000e-08,4.850755556e-08,-7.627397051e+02,1.936600000e+02
5.140000e-05,-6.751547355e-08,3.609822222e-07,3.201644444e-08,3.970804444e-08,-5.084911628e+02,1.663000000e+02
5.941000e-05,-6.038514728e-08,2.880933333e-07,3.261777778e-08,3.261777778e-08,-4.303001322e+02,1.518500000e+02
7.095000e-05,-3.968363268e-08,2.314222222e-07,3.154266667e-08,3.154266667e-08,-4.234763940e+02,1.306600000e+02
8.707000e-05,-2.074602802e-08,1.957066667e-07,2.751555556e-08,2.751555556e-08,-4.638952645e+02,1.039000000e+02
