time(s),signal_pred(V/m2),signal_obs(V/m2),err_obs(V/m2),err_scl(V/m2),rhoa_pred(V/m2),rhoa_obs(V/m2)
5.070000e-06,3.828489753e-06,5.366444444e-04,4.460800000e-07,4.293155556e-05,1.636034892e+03,6.070000000e+01
6.070000e-06,2.426969594e-06,2.062755556e-04,2.518311111e-07,1.650204444e-05,1.642354020e+03,8.499000000e+01
7.080000e-06,6.968095023e-07,7.873822222e-05,1.710884444e-07,6.299057778e-06,2.919841975e+03,1.250000000e+02
8.520000e-06,-2.562675822e-07,1.864133333e-05,8.558977778e-08,1.491306667e-06,-4.177941755e+03,2.398800000e+02
1.053000e-05,2.495430072e-07,2.408977778e-07,5.362800000e-08,5.362800000e-08,2.987766122e+03,3.058500000e+03
1.255000e-05,2.260337909e-07,-1.337328889e-06,4.639377778e-08,1.069863111e-07,2.382149596e+03,-7.285800000e+02
1.456000e-05,-4.548728344e-08,-8.108888889e-07,3.886800000e-08,6.487111111e-08,-5.415374900e+03,-7.939600000e+02
1.744000e-05,-1.831903683e-07,-2.170266667e-07,3.072266667e-08,1.736213333e-08,-1.583597941e+03,-1.414950000e+03
2.146000e-05,-1.008428246e-07,1.645648889e-07,3.088666667e-08,3.088666667e-08,-1.668570737e+03,1.203410000e+03
2.549000e-05,2.159046693e-09,2.356133333e-07,2.853600000e-08,2.853600000e-08,1.624425273e+04,7.115300000e+02
2.950000e-05,-5.272921735e-09,2.664088889e-07,2.919200000e-08,2.919200000e-08,-7.021338483e+03,5.136700000e+02
3.528000e-05,-6.410398221e-08,2.749733333e-07,2.523777778e-08,2.523777778e-08,-9.855678314e+02,3.733500000e+02
4.330000e-05,-4.937591051e-08,2.254088889e-07,2.319688889e-08,2.319688889e-08,-8.336829403e+02,3.029100000e+02
5.140000e-05,-1.778959016e-08,1.980755556e-07,2.622177778e-08,2.622177778e-08,-1.237204981e+03,2.481300000e+02
5.941000e-05,-9.155606091e-09,1.565653333e-07,2.429022222e-08,2.429022222e-08,-1.513329506e+03,2.280000000e+02
7.095000e-05,-1.228210757e-08,9.998533333e-08,1.933377778e-08,1.933377778e-08,-9.255251455e+02,2.286900000e+02
8.707000e-05,-1.659625928e-08,9.050977778e-08,1.909688889e-08,1.909688889e-08,-5.383149466e+02,1.737200000e+02
