time(s),signal_pred(V/m2),signal_obs(V/m2),err_obs(V/m2),err_scl(V/m2),rhoa_pred(V/m2),rhoa_obs(V/m2)
5.070000e-06,2.547253601e-06,5.366444444e-04,4.460800000e-07,7.513022222e-05,2.146657532e+03,6.070000000e+01
6.070000e-06,1.121966306e-05,2.062755556e-04,2.518311111e-07,2.887857778e-05,5.918202098e+02,8.499000000e+01
7.080000e-06,1.168151707e-06,7.873822222e-05,1.710884444e-07,1.102335111e-05,2.069041613e+03,1.250000000e+02
8.520000e-06,-5.408486273e-06,1.864133333e-05,8.558977778e-08,2.609786667e-06,-5.470676164e+02,2.398800000e+02
1.053000e-05,1.789525139e-06,2.408977778e-07,5.362800000e-08,5.362800000e-08,8.034366995e+02,3.058500000e+03
1.255000e-05,2.437024697e-06,-1.337328889e-06,4.639377778e-08,1.872260444e-07,4.881028275e+02,-7.285800000e+02
1.456000e-05,6.581147690e-08,-8.108888889e-07,3.886800000e-08,1.135244444e-07,4.233381787e+03,-7.939600000e+02
1.744000e-05,-1.062666013e-06,-2.170266667e-07,3.072266667e-08,3.038373333e-08,-4.905110836e+02,-1.414950000e+03
2.146000e-05,-3.174516304e-07,1.645648889e-07,3.088666667e-08,3.088666667e-08,-7.768245033e+02,1.203410000e+03
2.549000e-05,4.830744141e-07,2.356133333e-07,2.853600000e-08,3.298586667e-08,4.407561732e+02,7.115300000e+02
2.950000e-05,3.442646432e-07,2.664088889e-07,2.919200000e-08,3.729724444e-08,4.330378376e+02,5.136700000e+02
3.528000e-05,-2.367400438e-07,2.749733333e-07,2.523777778e-08,3.849626667e-08,-4.125045185e+02,3.733500000e+02
4.330000e-05,-1.870578255e-07,2.254088889e-07,2.319688889e-08,3.155724444e-08,-3.430523550e+02,3.029100000e+02
5.140000e-05,3.075112516e-08,1.980755556e-07,2.622177778e-08,2.773057778e-08,8.589705636e+02,2.481300000e+02
5.941000e-05,6.882064518e-08,1.565653333e-07,2.429022222e-08,2.429022222e-08,3.943777512e+02,2.280000000e+02
7.095000e-05,5.031387386e-09,9.998533333e-08,1.933377778e-08,1.933377778e-08,1.677947297e+03,2.286900000e+02
8.707000e-05,-6.227320714e-08,9.050977778e-08,1.909688889e-08,1.909688889e-08,-2.229337171e+02,1.737200000e+02
