,thk_00,thk_01,thk_02,thk_03,rho0_00,rho0_01,rho0_02,rho0_03,rho0_04,max_pha_00,max_pha_01,max_pha_02,max_pha_03,max_pha_04,tau_phi_00,tau_phi_01,tau_phi_02,tau_phi_03,tau_phi_04,c_00,c_01,c_02,c_03,c_04
dB/dt tg01,3.2536844931027424e-06,9.326578612982359e-07,1.0572650722854649e-06,-1.5393807887070072e-06,-1.6258941137807424e-08,-3.923323387981858e-10,-3.7865639819812807e-10,6.287176636118901e-09,-3.44567198556071e-08,-0.0006896702858317542,2.374789882931041e-06,2.3696493877512986e-06,0.00015267274591673608,0.00023331831658357006,-0.26093158228592855,3.471214090517184e-05,2.629812161945783e-05,-5.185934165379469,0.12938450994246012,-8.222237963016611e-07,-1.1436298840805788e-07,-3.3190800993646956e-07,3.8146714789345392e-06,-2.4000119278182404e-05
dB/dt tg02,3.824480394995381e-06,1.303860540959831e-06,1.1449494631258193e-06,-2.353610920963749e-06,-3.999632623160238e-08,-8.168184044794966e-10,-8.23000177131151e-10,3.768039860329307e-09,-2.0326853430186554e-08,-0.00042147990602909517,5.00679255314903e-06,4.97010267746266e-06,0.00012032245096376484,0.00012704990784433414,-0.20147394332805388,2.8867365190242216e-05,2.1922707625798308e-05,6.45315762980989,0.07522434256052125,-7.28497322767462e-07,-5.739842858728637e-07,-9.537054760721336e-07,-0.0003095969244888706,-1.4018965425583215e-05
dB/dt tg03,8.415916439892876e-07,6.129882196459232e-07,6.351584895654819e-07,-6.35176925161291e-07,2.4080359008735774e-09,-1.6001172286949452e-10,-1.8321879303722844e-10,2.6414110137912418e-09,-1.5554146551328612e-08,-0.00031528783691860444,8.830710874801344e-07,1.0937224716761247e-06,-2.3720939773989256e-05,9.972635172976836e-05,-0.17596323009263304,2.48128525699842e-05,1.8930082304007153e-05,-2.84906892018529,0.05810796505130816,3.29541730299144e-07,2.535898496211798e-08,-1.2624648469705199e-07,2.074043918693734e-06,-1.0872675275651979e-05
dB/dt tg04,-1.0814654451624908e-06,6.264891263477919e-08,2.0612058945887278e-07,4.983626967919641e-07,2.825539579144297e-08,2.743605620970213e-10,2.517874921580882e-10,1.7599717409558632e-09,-1.1320725510638452e-08,-0.00022625233608464267,-1.8333625418152555e-06,-1.5415044497945573e-06,-8.34127943997144e-05,7.495412593239529e-05,-0.14246161277182126,2.0803252568897092e-05,1.5878280977954028e-05,-8.253139282516095,0.042718822312653795,9.487640852770187e-07,4.1036133456662306e-07,4.293368375907241e-07,0.0001985295585138033,-8.02630949641848e-06
dB/dt tg05,3.809548695392877e-07,2.7789039961277024e-07,2.4946943422804724e-07,-4.57430235975798e-07,-1.4109863446535938e-09,-1.337234313419128e-10,-1.3438188121891583e-10,9.49004954676576e-10,-5.545843716128407e-09,-0.0001248825964004462,7.405133755928814e-07,7.667564913195663e-07,2.6834200916129973e-05,3.144625393852386e-05,-0.09314822803350144,1.711118653734751e-05,1.29216716385674e-05,1.0767816126351055,0.020283316366894684,3.980065241495127e-07,-1.493547978810518e-08,-1.0401190296671355e-07,-5.5380058701125525e-05,-3.853016949188935e-06
dB/dt tg06,4.895796201171042e-07,2.463610303420919e-07,1.974907865121612e-07,-4.920482031203088e-07,-5.257821860070969e-09,-1.6274878349102918e-10,-1.6012423431744135e-10,5.919967983274384e-10,-3.313312139667974e-09,-8.067566783852703e-05,9.346988838740667e-07,9.215722472777394e-07,3.6159115134475925e-05,1.6696204912958083e-05,-0.06771058231189067,1.4654182590071202e-05,1.0974998024400495e-05,2.253876581363829,0.011854593711048723,2.927543841419214e-07,-6.343381497589305e-08,-1.5188925005376046e-07,-8.117475888769457e-05,-2.277291552583565e-06
dB/dt tg07,-4.548902498130251e-08,9.793243204994864e-08,9.803439030085834e-08,-1.0347046391224662e-07,3.0167135563823423e-09,-1.6682429151747964e-11,-1.864504233236903e-11,4.3937753773371055e-10,-2.7020524013952975e-09,-6.319288512782093e-05,2.8146072544609775e-08,7.54946040673584e-08,1.9934726096833228e-06,1.4906972929018633e-05,-0.054958049567512754,1.291433243112858e-05,9.614877152156869e-06,-0.24837063415186522,0.00982612367711267,4.10310171609073e-07,6.334509217475573e-08,2.6360747477431873e-08,-2.9820731380619206e-06,-1.8909597637708428e-06
dB/dt tg08,-2.7519121005913276e-07,2.148173285766214e-08,4.424710661318572e-08,9.467964807798306e-08,6.3475028990081504e-09,5.2598619927076703e-11,4.791159839547315e-11,3.0074261860748174e-10,-2.0115605475976824e-09,-4.566763936116748e-05,-3.958556165086632e-07,-3.192905442765907e-07,-1.582124659945412e-05,1.1791123389430537e-05,-0.04146127248256572,1.1128270522810505e-05,8.204298976937945e-06,-1.411266614327079,0.007392466282848048,4.183995451871459e-07,1.1589803439324803e-07,1.050480883749098e-07,3.4427302644321734e-05,-1.427044517839153e-06
dB/dt tg09,-1.0024803626144897e-07,3.095631644881212e-08,3.651475949061553e-08,5.5748847538022175e-09,2.681285273654064e-09,1.179561709277298e-11,9.703421831857175e-12,1.7618537931140286e-10,-1.1338258354327939e-09,-2.7856042083618168e-05,-1.2941418920868527e-07,-8.594873087928879e-08,-4.470163344234969e-06,6.033347109479419e-06,-0.027876689801964567,9.433050196604644e-06,6.8479643534510765e-06,-0.44300089998291975,0.00407538739451646,2.855266898901063e-07,6.325946563702302e-08,4.549343865304084e-08,8.887131800864976e-06,-7.980883751660897e-07
dB/dt tg10,6.999291883018606e-08,4.658314384140963e-08,3.45686313480199e-08,-1.0212548643879934e-07,-7.587548622632907e-10,-3.191739130422751e-11,-3.0788149970149814e-11,1.0540440930887e-10,-5.699389418655846e-10,-1.7080817928255293e-05,1.5220322430813557e-07,1.5954612029711558e-07,9.041504335563228e-06,2.097216409368862e-06,-0.01931378077937483,8.260739832874553e-06,5.90794349207617e-06,0.55818817979457,0.0019171182997182229,1.734672143402822e-07,1.2176496286072598e-08,-1.4098178813483359e-08,-1.8457443240757916e-05,-3.8808679673590265e-07
dB/dt tg11,4.788939375299422e-08,3.321825375895625e-08,2.4323816474040984e-08,-7.396162101417691e-08,-5.176761755634699e-10,-2.2822081994447122e-11,-2.197843011167633e-11,7.415125640625034e-11,-3.950324986235801e-10,-1.2422959821654973e-05,1.0060056529754536e-07,1.0954588546076051e-07,6.75018185767426e-06,1.322728542955573e-06,-0.014734903822851652,7.402612527752326e-06,5.227858886513605e-06,0.4150397279002011,0.0013045949816653962,1.4441037640975576e-07,1.4648606438089897e-08,-6.581709538640068e-09,-1.3554347571104821e-05,-2.6807203324251396e-07
dB/dt tg12,-6.230188685784086e-08,5.55958472624933e-09,9.533916456327629e-09,1.9549898345812596e-08,1.3986893263811336e-09,1.1190373605081745e-11,1.0050403642744798e-11,5.562412523861593e-11,-3.682991587212166e-10,-9.754420201971724e-06,-1.0699076628708052e-07,-7.892740197810096e-08,-3.1467131589951383e-06,1.8575514512044015e-06,-0.011176361682298996,6.491865043926265e-06,4.512536173360081e-06,-0.2665693657927149,0.001294800386661705,1.4658853397856223e-07,4.1014767291575934e-08,3.164128682800081e-08,6.606928780159299e-06,-2.6017012679418123e-07
