time(s),signal_pred(V/m2),signal_obs(V/m2),err_obs(V/m2),err_scl(V/m2),rhoa_pred(V/m2),rhoa_obs(V/m2)
5.070000e-06,4.382400887e-06,5.366444444e-04,2.603955556e-07,7.513022222e-05,1.495097399e+03,6.071000000e+01
6.070000e-06,2.943939359e-06,2.071866667e-04,1.418782222e-07,2.900613333e-05,1.443966424e+03,8.474000000e+01
7.080000e-06,1.888241589e-06,7.988622222e-05,1.023724444e-07,1.118407111e-05,1.502208972e+03,1.238000000e+02
8.520000e-06,1.082596009e-06,1.918800000e-05,4.879911111e-08,2.686320000e-06,1.598749963e+03,2.352500000e+02
1.053000e-05,7.101879802e-07,5.515866667e-07,3.318266667e-08,7.722213333e-08,1.487743254e+03,1.761050000e+03
1.255000e-05,4.661575045e-07,-1.154195556e-06,3.105066667e-08,1.615873778e-07,1.470266821e+03,-8.037500000e+02
1.456000e-05,2.820622302e-07,-7.354488889e-07,3.174311111e-08,1.029628444e-07,1.604446492e+03,-8.473300000e+02
1.744000e-05,1.468050209e-07,-2.283244444e-07,2.924666667e-08,3.196542222e-08,1.835493058e+03,-1.367580000e+03
2.146000e-05,8.132507048e-08,1.053973333e-07,2.678666667e-08,2.678666667e-08,1.925861236e+03,1.619750000e+03
2.549000e-05,5.815520115e-08,2.354311111e-07,2.549288889e-08,3.296035556e-08,1.807793079e+03,7.119400000e+02
2.950000e-05,3.493754742e-08,2.410800000e-07,2.551111111e-08,3.375120000e-08,1.990333488e+03,5.491400000e+02
3.528000e-05,8.388729218e-09,2.305111111e-07,2.562044444e-08,3.227155556e-08,3.823658305e+03,4.200300000e+02
4.330000e-05,-2.545780766e-10,1.657311111e-07,2.480044444e-08,2.480044444e-08,-2.793381969e+04,3.718700000e+02
5.140000e-05,-1.754944504e-10,1.188817778e-07,2.275955556e-08,2.275955556e-08,-2.689738318e+04,3.486900000e+02
5.941000e-05,-1.266331074e-09,9.318844444e-08,2.297822222e-08,2.297822222e-08,-5.658396677e+03,3.222200000e+02
7.095000e-05,-3.442331161e-09,8.580844444e-08,2.060933333e-08,2.060933333e-08,-2.161067779e+03,2.532300000e+02
8.707000e-05,-4.812219644e-09,7.228755556e-08,2.215822222e-08,2.215822222e-08,-1.228795517e+03,2.018100000e+02
