,thk_00,thk_01,thk_02,thk_03,rho0_00,rho0_01,rho0_02,rho0_03,rho0_04,max_pha_00,max_pha_01,max_pha_02,max_pha_03,max_pha_04,tau_phi_00,tau_phi_01,tau_phi_02,tau_phi_03,tau_phi_04,c_00,c_01,c_02,c_03,c_04
dB/dt tg01,7.1180044621628605e-06,1.2453720320173112e-06,1.3625540111534968e-06,-1.8096480158386308e-06,-8.42748566337211e-08,-9.431135125815035e-10,-1.0420282251183962e-09,5.586953764725881e-09,-4.840738429902873e-08,-0.0007633896798683692,5.572723537943177e-06,6.302318536754965e-06,-2.4016307698115805e-05,0.00028488218697878144,-0.06604361131253333,6.815819206277478e-05,5.028187029888355e-05,-5.757429147409817,0.14719985167521998,-4.200877099143964e-06,-6.823471718163333e-07,-1.3729343436611367e-06,-4.684145978928955e-05,-2.8982578552518486e-05
dB/dt tg02,3.7922045582981265e-06,1.2398893513132931e-06,1.2943478341459047e-06,-5.365087033202505e-07,-3.6150437573141283e-08,-4.777399628345234e-10,-5.314988582178904e-10,3.537339974838547e-09,-3.183607916682398e-08,-0.000509970679773603,2.707468637043487e-06,3.1311386246395093e-06,3.593567527198829e-05,0.0001810418864836808,-0.07652792174521414,5.643545625656324e-05,4.216849132760519e-05,-3.1163282145201685,0.09676876377410915,-1.657891207925925e-06,-2.0583852530383746e-07,-6.035157306677602e-07,3.49568172786126e-05,-1.910257011993483e-05
dB/dt tg03,1.6752364857472446e-06,5.799056386242964e-07,6.121149918928634e-07,-7.106955078455532e-07,-1.1033659038344644e-08,-2.6793418866157144e-10,-3.080932521474634e-10,2.9062030906236545e-09,-2.2537184261163708e-08,-0.000368243076165531,1.4362107339533292e-06,1.7790607330235204e-06,-2.0435819991039244e-06,0.00012510771849892245,-0.07281370295814904,4.81958118480463e-05,3.619734595564777e-05,-2.2528898878774326,0.06830837075746118,-3.720913348518997e-07,-1.4016105028958708e-08,-2.859125336264272e-07,-1.312701869507658e-05,-1.3536776930517473e-05
dB/dt tg04,4.498893011397137e-07,1.1184721693682942e-07,1.30638487697405e-07,-7.875344084982155e-07,1.537810262143479e-09,-1.4010432186248966e-10,-1.6889015431806687e-10,2.2233731827020012e-09,-1.4855024449568281e-08,-0.0002501138086419255,6.789471984659844e-07,9.47156497245951e-07,-2.7933232454345742e-05,8.03163612750345e-05,-0.06066693245499065,4.0055171015813424e-05,3.010237107477302e-05,-1.5915483252103722,0.04481642307268719,2.8336208361925425e-07,7.934597834771137e-08,-1.0430708073905437e-07,-4.4615094761e-05,-8.929794248716315e-06
dB/dt tg05,3.6734866437392655e-07,2.914380027010695e-07,2.9780353350988745e-07,-1.6237472788938995e-07,1.578594214895256e-09,-6.723171589082868e-11,-7.93251644576961e-11,1.1294279567141984e-09,-8.865159660097393e-09,-0.00015566404891872947,2.590522893286912e-07,3.9816879305403704e-07,7.327588400411133e-06,4.5888071009779666e-05,-0.04485210510213073,3.263697436151432e-05,2.442704121763255e-05,-0.7333364373700478,0.026647416271981597,3.3114192749898863e-07,1.1263254113886665e-07,3.003121747828919e-09,4.992522148720933e-06,-5.33947320008506e-06
dB/dt tg06,2.3193107333113855e-07,2.5058747199340035e-07,2.527740817945471e-07,-2.2813698855817726e-08,1.898910813327268e-09,-3.596156467435106e-11,-4.237324939699397e-11,6.946049189482729e-10,-5.813270255231976e-09,-0.00010621617111238252,8.896308213885224e-08,1.8186153357911e-07,1.1151237746307257e-05,2.904049774196556e-05,-0.03438383646686597,2.7694944535032337e-05,2.0601817635369083e-05,-0.4157027476085913,0.017388099334657077,3.382819119245469e-07,1.1449885932385319e-07,3.7634199492157104e-08,1.1627385291101455e-05,-3.5048951114373543e-06
dB/dt tg07,4.068859833913718e-08,1.0888374712071476e-07,1.1028438539465885e-07,-1.0505348361770793e-07,2.9141604151075576e-09,-2.0698900728373877e-11,-2.6322489704181377e-11,5.715912684049202e-10,-4.144977108692633e-09,-7.835454663744653e-05,1.2458908011757087e-08,9.695071420791882e-08,6.297574608469937e-07,2.0251510884845018e-05,-0.02746813077792596,2.4192592854792885e-05,1.7874945398606184e-05,-0.33985987219169944,0.012319137897449825,3.5984725669894764e-07,1.079007244791705e-07,4.576304412952622e-08,-1.4511565574764455e-06,-2.4986486356656455e-06
dB/dt tg08,-5.5511750134188085e-08,2.803880828655445e-08,2.8731438051786177e-08,-1.269264760469685e-07,2.9993382532807244e-09,-9.974053987365448e-12,-1.4492658160573432e-11,4.2809103114615966e-10,-2.7337917242627584e-09,-5.3984635913475113e-05,-3.568678066538493e-08,3.625025659524758e-08,-4.351165490691023e-06,1.2970080801522819e-05,-0.020602519615956334,2.061629556457286e-05,1.5079902923285255e-05,-0.2523748696946391,0.0080564301445861,3.311218299090243e-07,9.586752844385562e-08,4.733746470841598e-08,-7.289950011344533e-06,-1.6473455437738188e-06
dB/dt tg09,-3.170895356893598e-08,3.376912641215706e-08,3.351193572434752e-08,-5.5028730096226135e-08,2.019164827737752e-09,-3.863928318470905e-12,-6.387875108383294e-12,2.477945720952945e-10,-1.6553161280013988e-09,-3.462533701730494e-05,-5.667278449864861e-08,-5.2332658532780555e-09,-9.618632589378207e-07,7.488227879977721e-06,-0.014431251486046532,1.7246312245714067e-05,1.2440172766890634e-05,-0.13781878328325273,0.00483024916576901,2.5147442776570495e-07,8.041354064039215e-08,4.472922822435423e-08,-2.199263319355588e-06,-9.974528441187468e-07
dB/dt tg10,6.879571927411586e-09,5.2034453898068036e-08,5.1218641240141105e-08,4.785731529665848e-09,1.1787622008505785e-09,-1.409008259529034e-12,-2.5509328286075705e-12,1.3267927640345998e-10,-1.0736282683531009e-09,-2.374202746650338e-05,-6.03728449995887e-08,-2.346871821929015e-08,2.594006762795614e-06,4.60481044582525e-06,-0.010590662120336661,1.492869027480028e-05,1.06256524042526e-05,-0.06533253344367615,0.0031047316538922154,1.8652086863290273e-07,6.818906908693026e-08,4.0600503166264294e-08,2.835476207876824e-06,-6.470573420566635e-07
dB/dt tg11,1.0495210965594047e-09,3.773113558822517e-08,3.691624789600028e-08,4.568868053381728e-09,9.370948386546922e-10,-1.3542205073117227e-13,-1.0234772528738099e-12,9.423131968084365e-11,-7.553341903788804e-10,-1.746511293257092e-05,-5.974963713328019e-08,-2.7674558625072817e-08,1.9066350042176938e-06,3.1194829549883055e-06,-0.008191257155338272,1.3236176346295478e-05,9.304248297514528e-06,-0.044944400360277,0.0021631706608912105,1.5378837188064215e-07,5.896294529937906e-08,3.5718622146856345e-08,2.101215002707483e-06,-4.548322425708484e-07
dB/dt tg12,-2.553527771665663e-08,6.707068800013331e-09,6.154580389003176e-09,-2.2527044237891325e-08,9.247289452002821e-10,7.982100329269309e-13,-3.0106833462653626e-13,8.414913939120056e-11,-5.060272542274173e-10,-1.2240932582138712e-05,-5.653501968007549e-08,-2.591397475935921e-08,-7.858432174709386e-07,2.036629599793966e-06,-0.006032673113394251,1.1446847610107502e-05,7.91306770641758e-06,-0.044643750012445055,0.0014291287989074747,1.2934087745862522e-07,4.9097067786769105e-08,2.9389991440503115e-08,-1.3270054888343056e-06,-3.0391414255641273e-07
