time(s),signal_pred(V/m2),signal_obs(V/m2),err_obs(V/m2),err_scl(V/m2),rhoa_pred(V/m2),rhoa_obs(V/m2)
5.070000e-06,2.748097373e-06,5.707200000e-04,1.855022222e-07,9.702240000e-05,2.040748455e+03,5.826000000e+01
6.070000e-06,1.215472260e-06,2.237688889e-04,1.322751111e-07,3.804071111e-05,2.604231777e+03,8.047000000e+01
7.080000e-06,5.833364310e-07,8.810444444e-05,9.881911111e-08,1.497775556e-05,3.287173727e+03,1.159900000e+02
8.520000e-06,2.418417922e-07,2.237688889e-05,5.452088889e-08,3.804071111e-06,4.342474335e+03,2.123600000e+02
1.053000e-05,6.759173096e-08,1.425888889e-06,3.582488889e-08,2.424011111e-07,7.136980154e+03,9.349000000e+02
1.255000e-05,1.048071342e-08,-8.630044444e-07,2.501911111e-08,1.467107556e-07,1.845684137e+04,-9.756200000e+02
1.456000e-05,-7.596294222e-09,-6.928088889e-07,2.921022222e-08,1.177775111e-07,-1.785750073e+04,-8.816600000e+02
1.744000e-05,-1.548893883e-08,-1.472537778e-07,1.886000000e-08,2.503314222e-08,-8.220512786e+03,-1.832000000e+03
2.146000e-05,-1.594070008e-08,2.026311111e-07,1.895111111e-08,3.444728889e-08,-5.707374408e+03,1.047650000e+03
2.549000e-05,-1.362271943e-08,3.037644444e-07,1.758080000e-08,5.163995556e-08,-4.757351268e+03,6.005500000e+02
2.950000e-05,-1.134720455e-08,3.119644444e-07,1.593715556e-08,5.303395556e-08,-4.212386422e+03,4.622500000e+02
3.528000e-05,-8.822092102e-09,2.846311111e-07,1.560186667e-08,4.838728889e-08,-3.697391748e+03,3.649300000e+02
4.330000e-05,-6.481311892e-09,2.323333333e-07,1.668244444e-08,3.949666667e-08,-3.227768499e+03,2.968200000e+02
5.140000e-05,-4.982167547e-09,1.684280000e-07,1.678266667e-08,2.863276000e-08,-2.890281009e+03,2.764300000e+02
5.941000e-05,-4.004119580e-09,1.488026667e-07,1.479462222e-08,2.529645333e-08,-2.626557263e+03,2.358700000e+02
7.095000e-05,-3.042825897e-09,1.183715556e-07,1.257151111e-08,2.012316444e-08,-2.346310142e+03,2.043300000e+02
8.707000e-05,-2.290565922e-09,8.764888889e-08,1.189000000e-08,1.490031111e-08,-2.015648110e+03,1.775000000e+02
