X,Y,Z,depth(m),rho(Ohmm),mpa(rad),tau_p(s),c()
0.000,0.000,0.000,1.550,100.000,0.0,1.0e-06,0.213
0.000,0.000,0.000,4.839,2496.192,0.1,6.1e-04,0.877
0.000,0.000,0.000,4.121,2297.623,0.2,5.7e-04,0.842
0.000,0.000,0.000,7.479,1503.823,0.6,1.0e-06,0.319
0.000,0.000,0.000,0.000,436.486,0.0,1.0e-06,0.099
