time(s),signal_pred(V/m2),signal_obs(V/m2),err_obs(V/m2),err_scl(V/m2),rhoa_pred(V/m2),rhoa_obs(V/m2)
5.070000e-06,5.656632860e-06,5.035333333e-04,3.334933333e-07,1.007066667e-04,1.219811509e+03,6.126000000e+01
6.070000e-06,3.180178395e-06,1.932666667e-04,2.329600000e-07,3.865333333e-05,1.326566971e+03,8.584000000e+01
7.080000e-06,1.781814621e-06,7.390933333e-05,1.343160000e-07,1.478186667e-05,1.510245482e+03,1.261200000e+02
8.520000e-06,8.610923657e-07,1.877200000e-05,7.805200000e-08,3.754400000e-06,1.801270085e+03,2.309900000e+02
1.053000e-05,4.683465684e-07,1.260653333e-06,4.444266667e-08,2.521306667e-07,1.899266056e+03,9.816200000e+02
1.255000e-05,2.551912261e-07,-4.818666667e-07,3.601866667e-08,9.637333333e-08,2.125011501e+03,-1.391600000e+03
1.456000e-05,1.098533542e-07,-3.234400000e-07,3.584533333e-08,6.468800000e-08,2.909824618e+03,-1.417120000e+03
1.744000e-05,1.670428816e-08,1.846000000e-08,2.270666667e-08,2.270666667e-08,7.560465520e+03,7.075960000e+03
2.146000e-05,-1.234243198e-08,1.995066667e-07,2.548000000e-08,3.990133333e-08,-6.546783249e+03,1.023680000e+03
2.549000e-05,-1.310083035e-08,2.567066667e-07,2.398933333e-08,5.134133333e-08,-4.722758220e+03,6.497500000e+02
2.950000e-05,-1.986915137e-08,2.996933333e-07,2.442266667e-08,5.993866667e-08,-2.804497656e+03,4.592200000e+02
3.528000e-05,-2.994708539e-08,2.402400000e-07,1.944800000e-08,4.804800000e-08,-1.583290669e+03,3.952400000e+02
4.330000e-05,-2.633180619e-08,2.007200000e-07,2.086933333e-08,4.014400000e-08,-1.226152232e+03,3.165000000e+02
5.140000e-05,-1.940723068e-08,1.956933333e-07,2.215200000e-08,3.913866667e-08,-1.129181471e+03,2.418400000e+02
5.941000e-05,-1.594804925e-08,1.294280000e-07,2.093866667e-08,2.588560000e-08,-1.011052454e+03,2.503700000e+02
7.095000e-05,-1.360765566e-08,8.177866667e-08,1.479226667e-08,1.635573333e-08,-8.360555099e+02,2.529100000e+02
8.707000e-05,-1.157657113e-08,6.250400000e-08,1.633146667e-08,1.633146667e-08,-6.619783456e+02,2.150500000e+02
