time(s),signal_pred(V/m2),signal_obs(V/m2),err_obs(V/m2),err_scl(V/m2),rhoa_pred(V/m2),rhoa_obs(V/m2)
5.070000e-06,3.966064644e-06,5.035333333e-04,3.334933333e-07,8.560066667e-05,1.545580141e+03,6.126000000e+01
6.070000e-06,2.719295647e-06,1.932666667e-04,2.329600000e-07,3.285533333e-05,1.472513268e+03,8.584000000e+01
7.080000e-06,1.245171175e-06,7.390933333e-05,1.343160000e-07,1.256458667e-05,1.917799430e+03,1.261200000e+02
8.520000e-06,2.785937218e-07,1.877200000e-05,7.805200000e-08,3.191240000e-06,3.822062449e+03,2.309900000e+02
1.053000e-05,3.864005309e-07,1.260653333e-06,4.444266667e-08,2.143110667e-07,2.159097355e+03,9.816200000e+02
1.255000e-05,2.803877285e-07,-4.818666667e-07,3.601866667e-08,8.191733333e-08,1.995717699e+03,-1.391600000e+03
1.456000e-05,6.447754976e-08,-3.234400000e-07,3.584533333e-08,5.498480000e-08,4.150846549e+03,-1.417120000e+03
1.744000e-05,-5.162357803e-08,1.846000000e-08,2.270666667e-08,2.270666667e-08,-3.563431798e+03,7.075960000e+03
2.146000e-05,-3.000975537e-08,1.995066667e-07,2.548000000e-08,3.391613333e-08,-3.620652302e+03,1.023680000e+03
2.549000e-05,1.146269091e-08,2.567066667e-07,2.398933333e-08,4.364013333e-08,5.162624522e+03,6.497500000e+02
2.950000e-05,1.099198425e-09,2.996933333e-07,2.442266667e-08,5.094786667e-08,1.931629793e+04,4.592200000e+02
3.528000e-05,-3.373547978e-08,2.402400000e-07,1.944800000e-08,4.084080000e-08,-1.462421058e+03,3.952400000e+02
4.330000e-05,-2.801814927e-08,2.007200000e-07,2.086933333e-08,3.412240000e-08,-1.176445636e+03,3.165000000e+02
5.140000e-05,-1.205563152e-08,1.956933333e-07,2.215200000e-08,3.326786667e-08,-1.551003621e+03,2.418400000e+02
5.941000e-05,-7.621684232e-09,1.294280000e-07,2.093866667e-08,2.200276000e-08,-1.654035266e+03,2.503700000e+02
7.095000e-05,-9.046859235e-09,8.177866667e-08,1.479226667e-08,1.479226667e-08,-1.097552825e+03,2.529100000e+02
8.707000e-05,-1.090087830e-08,6.250400000e-08,1.633146667e-08,1.633146667e-08,-6.890584857e+02,2.150500000e+02
