X,Y,Z,depth(m),rho(Ohmm),mpa(rad),tau_p(s),c()
0.000,0.000,0.000,1.398,100.000,0.0,1.0e-06,0.299
0.000,0.000,0.000,5.137,2641.918,0.1,6.2e-04,0.890
0.000,0.000,0.000,4.239,2432.911,0.1,5.8e-04,0.855
0.000,0.000,0.000,8.635,1775.446,0.5,1.0e-06,0.292
0.000,0.000,0.000,0.000,491.427,0.0,1.0e-06,0.101
