X,Y,Z,depth(m),rho(Ohmm),mpa(rad),tau_p(s),c()
0.000,0.000,0.000,1.520,100.000,0.0,1.0e-06,0.210
0.000,0.000,0.000,4.812,2491.386,0.1,6.0e-04,0.876
0.000,0.000,0.000,4.108,2296.090,0.2,5.7e-04,0.842
0.000,0.000,0.000,7.894,1482.773,0.6,1.0e-06,0.321
0.000,0.000,0.000,0.000,423.925,0.0,1.0e-06,0.098
