name	ri	minT(us)	maxT(us)	lam	lam_fin	my	cf	noifl	max_iter	n_iter	aRMS	rRMS	chi2	runtime(min)
B031	r000	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.05	25	11	1.40e-04	135.978	213.360	 1.0
B031	r001	5.0	100.0	   500.0	    27.5	1.0e+02	8.0e-01	0.08	25	12	1.47e-04	104.803	 93.148	 1.1
B031	r002	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.11	25	11	1.47e-04	107.176	 66.666	 1.0
B031	r003	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.14	25	11	1.47e-04	111.301	 51.610	 1.0
B031	r004	5.0	100.0	   500.0	    27.5	1.0e+02	8.0e-01	0.17	25	12	1.47e-04	105.652	 33.185	 1.2
B031	r005	5.0	100.0	   500.0	    17.6	1.0e+02	8.0e-01	0.20	25	14	1.47e-04	104.186	 24.251	 1.4
B032	r000	5.0	100.0	   500.0	    27.5	1.0e+02	8.0e-01	0.05	25	12	1.45e-04	117.705	219.128	 1.2
B032	r001	5.0	100.0	   500.0	    27.5	1.0e+02	8.0e-01	0.08	25	12	1.49e-04	107.620	107.667	 1.2
B032	r002	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.11	25	11	1.48e-04	105.689	 77.370	 1.1
B032	r003	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.14	25	11	1.47e-04	109.455	 51.997	 1.1
B032	r004	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.17	25	11	1.48e-04	109.957	 35.924	 1.2
B032	r005	5.0	100.0	   500.0	    27.5	1.0e+02	8.0e-01	0.20	25	12	1.47e-04	117.553	 30.851	 1.3
B033	r000	5.0	100.0	   500.0	    27.5	1.0e+02	8.0e-01	0.05	25	12	1.57e-04	111.500	175.505	 1.3
B033	r001	5.0	100.0	   500.0	    17.6	1.0e+02	8.0e-01	0.08	25	14	1.57e-04	117.266	164.714	 1.4
B033	r002	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.11	25	11	1.57e-04	116.990	 85.719	 1.2
B033	r003	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.14	25	11	1.57e-04	114.686	 51.346	 1.2
B033	r004	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.17	25	11	1.57e-04	110.703	 35.239	 1.2
B033	r005	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.20	25	11	1.57e-04	116.392	 29.999	 1.1
B034	r000	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.05	25	11	1.55e-04	104.695	226.958	 1.2
B034	r001	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.08	25	11	1.54e-04	109.472	116.214	 1.2
B034	r002	5.0	100.0	   500.0	    27.5	1.0e+02	8.0e-01	0.11	25	12	1.55e-04	120.629	 98.987	 1.3
B034	r003	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.14	25	11	1.54e-04	108.547	 49.912	 1.1
B034	r004	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.17	25	11	1.54e-04	139.440	 64.088	 1.1
B034	r005	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.20	25	11	1.54e-04	111.184	 29.271	 1.1
B035	r000	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.05	25	11	1.60e-04	141.983	732.189	 1.2
B035	r001	5.0	100.0	   500.0	     9.0	1.0e+02	8.0e-01	0.08	25	17	1.60e-04	103.050	152.804	 1.8
B035	r002	5.0	100.0	   500.0	    27.5	1.0e+02	8.0e-01	0.11	25	12	1.66e-04	 97.155	 77.937	 1.3
B035	r003	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.14	25	11	1.60e-04	121.568	 68.424	 1.2
B035	r004	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.17	25	11	1.60e-04	120.022	 45.597	 1.2
B035	r005	5.0	100.0	   500.0	    17.6	1.0e+02	8.0e-01	0.20	25	14	1.61e-04	110.292	 30.015	 1.4
B036	r000	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.05	25	11	1.56e-04	100.689	214.862	 1.2
B036	r001	5.0	100.0	   500.0	    27.5	1.0e+02	8.0e-01	0.08	25	12	1.55e-04	134.074	248.634	 1.3
B036	r002	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.11	25	11	1.54e-04	116.684	101.477	 1.2
B036	r003	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.14	25	11	1.54e-04	146.839	106.093	 1.1
B036	r004	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.17	25	11	1.53e-04	114.754	 40.234	 1.1
B036	r005	5.0	100.0	   500.0	    22.0	1.0e+02	8.0e-01	0.20	25	13	1.54e-04	106.676	 26.008	 1.3
