X,Y,Z,depth(m),rho(Ohmm),mpa(rad),tau_p(s),c()
0.000,0.000,0.000,1.428,100.000,0.0,1.0e-06,0.351
0.000,0.000,0.000,5.068,2598.967,0.1,6.2e-04,0.892
0.000,0.000,0.000,4.207,2399.921,0.1,5.8e-04,0.858
0.000,0.000,0.000,7.950,1750.244,0.6,1.0e-06,0.323
0.000,0.000,0.000,0.000,499.963,0.0,1.0e-06,0.100
