time(s),signal_pred(V/m2),signal_obs(V/m2),err_obs(V/m2),err_scl(V/m2),rhoa_pred(V/m2),rhoa_obs(V/m2)
5.070000e-06,3.760708352e-06,4.912266667e-04,2.227333333e-07,5.403493333e-05,1.601345160e+03,6.228000000e+01
6.070000e-06,2.463194292e-06,1.859866667e-04,1.778400000e-07,2.045853333e-05,1.572887721e+03,8.806000000e+01
7.080000e-06,1.369057591e-06,7.035600000e-05,1.038613333e-07,7.739160000e-06,1.800285619e+03,1.303200000e+02
8.520000e-06,6.161751869e-07,1.707506667e-05,5.321333333e-08,1.878257333e-06,2.251520257e+03,2.459800000e+02
1.053000e-05,4.771625137e-07,6.914266667e-07,4.279600000e-08,7.605693333e-08,1.875799819e+03,1.464880000e+03
1.255000e-05,3.215955990e-07,-8.441333333e-07,3.842800000e-08,9.285466667e-08,1.821370840e+03,-9.576300000e+02
1.456000e-05,1.546362968e-07,-5.248533333e-07,3.038533333e-08,5.773386667e-08,2.316690768e+03,-1.026240000e+03
1.744000e-05,4.911953505e-08,-1.599693333e-07,2.561866667e-08,1.759662667e-08,3.683531214e+03,-1.676670000e+03
2.146000e-05,2.612466303e-08,1.066520000e-07,2.494266667e-08,2.494266667e-08,3.971256993e+03,1.554220000e+03
2.549000e-05,2.935568438e-08,2.702266667e-07,2.300133333e-08,2.972493333e-08,2.758037211e+03,6.279600000e+02
2.950000e-05,1.486201685e-08,2.561866667e-07,2.119866667e-08,2.818053333e-08,3.403476796e+03,5.100300000e+02
3.528000e-05,-9.438149213e-09,2.220400000e-07,2.057466667e-08,2.442440000e-08,-3.418790329e+03,4.163500000e+02
4.330000e-05,-1.130271547e-08,1.759333333e-07,2.123333333e-08,2.123333333e-08,-2.154813212e+03,3.457000000e+02
5.140000e-05,-5.545525824e-09,1.198253333e-07,1.937866667e-08,1.937866667e-08,-2.602820991e+03,3.354900000e+02
5.941000e-05,-4.329444419e-09,1.069293333e-07,2.099066667e-08,2.099066667e-08,-2.411518625e+03,2.843700000e+02
7.095000e-05,-5.652999925e-09,9.112133333e-08,1.623786667e-08,1.623786667e-08,-1.501659037e+03,2.352900000e+02
8.707000e-05,-6.799068335e-09,4.186000000e-08,1.725706667e-08,1.725706667e-08,-9.439104816e+02,2.809600000e+02
