X,Y,Z,depth(m),rho(Ohmm),mpa(rad),tau_p(s),c()
0.000,0.000,0.000,1.457,100.000,0.0,1.0e-06,0.256
0.000,0.000,0.000,4.981,2565.227,0.1,6.1e-04,0.884
0.000,0.000,0.000,4.187,2364.225,0.1,5.7e-04,0.850
0.000,0.000,0.000,8.133,1556.277,0.6,1.0e-06,0.313
0.000,0.000,0.000,0.000,433.670,0.0,1.0e-06,0.098
