time(s),signal_pred(V/m2),signal_obs(V/m2),err_obs(V/m2),err_scl(V/m2),rhoa_pred(V/m2),rhoa_obs(V/m2)
5.070000e-06,8.033181416e-06,4.657777778e-04,5.768888889e-07,9.315555556e-05,9.819060312e+02,6.564000000e+01
6.070000e-06,-8.018100247e-08,1.745244444e-04,3.329777778e-07,3.490488889e-05,-1.569083673e+04,9.344000000e+01
7.080000e-06,1.762477666e-06,6.421333333e-05,1.806222222e-07,1.284266667e-05,1.547166543e+03,1.408700000e+02
8.520000e-06,3.097174709e-06,1.409955556e-05,7.443555556e-08,2.819911111e-06,7.803661973e+02,2.842400000e+02
1.053000e-05,-3.956858861e-07,-3.722666667e-07,4.248888889e-08,7.445333333e-08,-2.161360705e+03,-2.251360000e+03
1.255000e-05,-9.128574085e-07,-1.237688889e-06,5.520000000e-08,2.475377778e-07,-9.239888639e+02,-7.546900000e+02
1.456000e-05,-9.605122760e-08,-8.752000000e-07,6.241777778e-08,1.750400000e-07,-3.236463187e+03,-7.421600000e+02
1.744000e-05,2.854690313e-07,-2.392888889e-07,2.656000000e-08,4.785777778e-08,1.158932409e+03,-1.303830000e+03
2.146000e-05,-1.219915184e-08,8.145777778e-08,2.728888889e-08,2.728888889e-08,-6.710253942e+03,1.891800000e+03
2.549000e-05,-3.076136227e-07,1.909333333e-07,3.173333333e-08,3.818666667e-08,-5.857623777e+02,8.051400000e+02
2.950000e-05,-2.397725496e-07,2.032000000e-07,3.011555556e-08,4.064000000e-08,-5.421322490e+02,6.052400000e+02
3.528000e-05,1.771753449e-09,1.848888889e-07,2.801777778e-08,3.697777778e-08,1.060535208e+04,4.784800000e+02
4.330000e-05,2.567747156e-09,1.711288889e-07,2.328888889e-08,3.422577778e-08,5.886090176e+03,3.580600000e+02
5.140000e-05,-6.669033485e-08,1.638933333e-07,2.499555556e-08,3.277866667e-08,-5.043063610e+02,2.769100000e+02
5.941000e-05,-7.116047200e-08,1.236444444e-07,2.615111111e-08,2.615111111e-08,-3.793875798e+02,2.625200000e+02
7.095000e-05,-3.611061276e-08,7.603555556e-08,2.108444444e-08,2.108444444e-08,-4.436062654e+02,2.700000000e+02
8.707000e-05,-1.526056145e-09,3.249777778e-08,2.044444444e-08,2.044444444e-08,-2.599243666e+03,3.383300000e+02
