time(s),signal_pred(V/m2),signal_obs(V/m2),err_obs(V/m2),err_scl(V/m2),rhoa_pred(V/m2),rhoa_obs(V/m2)
5.070000e-06,4.336649802e-06,4.657777778e-04,5.768888889e-07,6.520888889e-05,1.481012562e+03,6.564000000e+01
6.070000e-06,2.381863474e-06,1.745244444e-04,3.329777778e-07,2.443342222e-05,1.635871483e+03,9.344000000e+01
7.080000e-06,1.500898700e-06,6.421333333e-05,1.806222222e-07,8.989866667e-06,1.722074328e+03,1.408700000e+02
8.520000e-06,8.862731152e-07,1.409955556e-05,7.443555556e-08,1.973937778e-06,1.797065341e+03,2.842400000e+02
1.053000e-05,4.159619360e-07,-3.722666667e-07,4.248888889e-08,5.211733333e-08,2.090540396e+03,-2.251360000e+03
1.255000e-05,2.115920578e-07,-1.237688889e-06,5.520000000e-08,1.732764444e-07,2.448701188e+03,-7.546900000e+02
1.456000e-05,1.226031517e-07,-8.752000000e-07,6.241777778e-08,1.225280000e-07,2.750457013e+03,-7.421600000e+02
1.744000e-05,5.321795865e-08,-2.392888889e-07,2.656000000e-08,3.350044444e-08,3.551337666e+03,-1.303830000e+03
2.146000e-05,5.390714673e-09,8.145777778e-08,2.728888889e-08,2.728888889e-08,1.156630082e+04,1.891800000e+03
2.549000e-05,-1.466949115e-08,1.909333333e-07,3.173333333e-08,3.173333333e-08,-4.454324143e+03,8.051400000e+02
2.950000e-05,-2.073738695e-08,2.032000000e-07,3.011555556e-08,3.011555556e-08,-2.772057251e+03,6.052400000e+02
3.528000e-05,-2.103696063e-08,1.848888889e-07,2.801777778e-08,2.801777778e-08,-2.037692372e+03,4.784800000e+02
4.330000e-05,-2.017510280e-08,1.711288889e-07,2.328888889e-08,2.395804444e-08,-1.489308192e+03,3.580600000e+02
5.140000e-05,-1.869018818e-08,1.638933333e-07,2.499555556e-08,2.499555556e-08,-1.177589511e+03,2.769100000e+02
5.941000e-05,-1.657813535e-08,1.236444444e-07,2.615111111e-08,2.615111111e-08,-1.002040331e+03,2.625200000e+02
7.095000e-05,-1.341174031e-08,7.603555556e-08,2.108444444e-08,2.108444444e-08,-8.585471540e+02,2.700000000e+02
8.707000e-05,-1.030490404e-08,3.249777778e-08,2.044444444e-08,2.044444444e-08,-7.275531094e+02,3.383300000e+02
