time(s),signal_pred(V/m2),signal_obs(V/m2),err_obs(V/m2),err_scl(V/m2),rhoa_pred(V/m2),rhoa_obs(V/m2)
5.070000e-06,2.180114846e-06,4.657777778e-04,5.768888889e-07,5.123555556e-05,2.342477327e+03,6.564000000e+01
6.070000e-06,3.809025873e-07,1.745244444e-04,3.329777778e-07,1.919768889e-05,5.552447696e+03,9.344000000e+01
7.080000e-06,4.493495096e-07,6.421333333e-05,1.806222222e-07,7.063466667e-06,3.847954832e+03,1.408700000e+02
8.520000e-06,5.348262283e-07,1.409955556e-05,7.443555556e-08,1.550951111e-06,2.516520390e+03,2.842400000e+02
1.053000e-05,-8.141711572e-08,-3.722666667e-07,4.248888889e-08,4.094933333e-08,-6.201315337e+03,-2.251360000e+03
1.255000e-05,-1.881037336e-07,-1.237688889e-06,5.520000000e-08,1.361457778e-07,-2.648523046e+03,-7.546900000e+02
1.456000e-05,-6.930259080e-08,-8.752000000e-07,6.241777778e-08,9.627200000e-08,-4.023212492e+03,-7.421600000e+02
1.744000e-05,-1.225101264e-08,-2.392888889e-07,2.656000000e-08,2.632177778e-08,-9.454736943e+03,-1.303830000e+03
2.146000e-05,-5.237993615e-08,8.145777778e-08,2.728888889e-08,2.728888889e-08,-2.540087851e+03,1.891800000e+03
2.549000e-05,-8.965440057e-08,1.909333333e-07,3.173333333e-08,3.173333333e-08,-1.332531374e+03,8.051400000e+02
2.950000e-05,-7.331020072e-08,2.032000000e-07,3.011555556e-08,3.011555556e-08,-1.194525093e+03,6.052400000e+02
3.528000e-05,-3.011975102e-08,1.848888889e-07,2.801777778e-08,2.801777778e-08,-1.604081256e+03,4.784800000e+02
4.330000e-05,-2.299954846e-08,1.711288889e-07,2.328888889e-08,2.328888889e-08,-1.364736717e+03,3.580600000e+02
5.140000e-05,-2.844261589e-08,1.638933333e-07,2.499555556e-08,2.499555556e-08,-8.900683412e+02,2.769100000e+02
5.941000e-05,-2.563509458e-08,1.236444444e-07,2.615111111e-08,2.615111111e-08,-7.493517164e+02,2.625200000e+02
7.095000e-05,-1.683433354e-08,7.603555556e-08,2.108444444e-08,2.108444444e-08,-7.378311023e+02,2.700000000e+02
8.707000e-05,-8.774642390e-09,3.249777778e-08,2.044444444e-08,2.044444444e-08,-8.098558402e+02,3.383300000e+02
