time(s),signal_pred(V/m2),signal_obs(V/m2),err_obs(V/m2),err_scl(V/m2),rhoa_pred(V/m2),rhoa_obs(V/m2)
5.070000e-06,4.568157427e-06,4.777866667e-04,1.076933333e-06,9.555733333e-05,1.454287194e+03,6.560000000e+01
6.070000e-06,2.209447023e-06,1.802542222e-04,5.311777778e-07,3.605084444e-05,1.748452908e+03,9.297000000e+01
7.080000e-06,1.151891513e-06,6.835155556e-05,2.798933333e-07,1.367031111e-05,2.088467261e+03,1.373600000e+02
8.520000e-06,5.175815215e-07,1.589342222e-05,1.147088889e-07,3.178684444e-06,2.614803074e+03,2.667900000e+02
1.053000e-05,1.740108881e-07,2.470933333e-07,5.344577778e-08,5.344577778e-08,3.799495364e+03,3.007130000e+03
1.255000e-05,4.640522935e-08,-9.276933333e-07,4.899955556e-08,1.855386667e-07,6.844998039e+03,-9.297900000e+02
1.456000e-05,-3.562390032e-09,-5.904000000e-07,3.629866667e-08,1.180800000e-07,-2.958427179e+04,-9.809600000e+02
1.744000e-05,-2.983488346e-08,-7.868355556e-08,2.855422222e-08,1.573671111e-08,-5.310031799e+03,-2.782190000e+03
2.146000e-05,-3.607565232e-08,2.124711111e-07,2.829911111e-08,4.249422222e-08,-3.311045602e+03,1.014670000e+03
2.549000e-05,-3.299706651e-08,2.775244444e-07,2.897333333e-08,5.550488889e-08,-2.637692753e+03,6.377900000e+02
2.950000e-05,-2.886144433e-08,3.052222222e-07,2.543822222e-08,6.104444444e-08,-2.260695585e+03,4.691400000e+02
3.528000e-05,-2.356360656e-08,2.906444444e-07,2.465466667e-08,5.812888889e-08,-1.920652006e+03,3.598100000e+02
4.330000e-05,-1.774458742e-08,2.033600000e-07,2.396222222e-08,4.067200000e-08,-1.649302772e+03,3.245400000e+02
5.140000e-05,-1.362701010e-08,1.437004444e-07,2.445422222e-08,2.874008889e-08,-1.477809894e+03,3.072900000e+02
5.941000e-05,-1.086148151e-08,1.214511111e-07,2.387111111e-08,2.429022222e-08,-1.350409614e+03,2.700800000e+02
7.095000e-05,-8.103018033e-09,1.008782222e-07,2.164800000e-08,2.164800000e-08,-1.221252925e+03,2.273400000e+02
8.707000e-05,-5.905856563e-09,7.294355556e-08,1.958888889e-08,1.958888889e-08,-1.071983208e+03,2.006000000e+02
