time(s),signal_pred(V/m2),signal_obs(V/m2),err_obs(V/m2),err_scl(V/m2),rhoa_pred(V/m2),rhoa_obs(V/m2)
5.070000e-06,4.267819621e-06,4.496000000e-04,6.620444444e-07,4.945600000e-05,1.496893630e+03,6.719000000e+01
6.070000e-06,-2.575079545e-08,1.668088889e-04,3.765333333e-07,1.834897778e-05,-3.345800117e+04,9.630000000e+01
7.080000e-06,1.397082029e-06,6.067555556e-05,1.984000000e-07,6.674311111e-06,1.806362364e+03,1.463000000e+02
8.520000e-06,2.289718339e-06,1.263822222e-05,1.081066667e-07,1.390204444e-06,9.544522590e+02,3.057600000e+02
1.053000e-05,3.523721652e-08,-7.463111111e-07,5.742222222e-08,8.209422222e-08,1.083826822e+04,-1.415960000e+03
1.255000e-05,-3.529929194e-07,-1.521422222e-06,3.424000000e-08,1.673564444e-07,-1.740836714e+03,-6.576400000e+02
1.456000e-05,1.124178736e-07,-9.848888889e-07,4.227555556e-08,1.083377778e-07,2.914175531e+03,-6.860500000e+02
1.744000e-05,3.028582063e-07,-3.189333333e-07,2.490666667e-08,3.508266667e-08,1.114135155e+03,-1.076360000e+03
2.146000e-05,7.324616474e-08,7.159111111e-08,3.061333333e-08,3.061333333e-08,2.031275299e+03,2.061700000e+03
2.549000e-05,-1.369905362e-07,2.503111111e-07,3.178666667e-08,3.178666667e-08,-1.004457287e+03,6.720700000e+02
2.950000e-05,-1.096166811e-07,2.288000000e-07,3.368888889e-08,3.368888889e-08,-9.135250286e+02,5.590700000e+02
3.528000e-05,2.874345720e-08,2.248888889e-07,1.904000000e-08,2.473777778e-08,1.654885486e+03,4.200600000e+02
4.330000e-05,1.900395721e-08,1.779555556e-07,2.024888889e-08,2.024888889e-08,1.549883494e+03,3.489500000e+02
5.140000e-05,-3.011345217e-08,1.298488889e-07,2.357333333e-08,2.357333333e-08,-8.568326645e+02,3.234100000e+02
5.941000e-05,-3.620332196e-08,1.065066667e-07,2.947555556e-08,2.947555556e-08,-5.953102690e+02,2.899500000e+02
7.095000e-05,-1.715000918e-08,7.628444444e-08,1.742400000e-08,1.742400000e-08,-7.287490567e+02,2.694300000e+02
8.707000e-05,2.459747224e-09,6.855111111e-08,1.694044444e-08,1.694044444e-08,1.890748145e+03,2.056600000e+02
