,thk_00,thk_01,thk_02,thk_03,rho0_00,rho0_01,rho0_02,rho0_03,rho0_04,max_pha_00,max_pha_01,max_pha_02,max_pha_03,max_pha_04,tau_phi_00,tau_phi_01,tau_phi_02,tau_phi_03,tau_phi_04,c_00,c_01,c_02,c_03,c_04
dB/dt tg01,5.541649506101071e-06,2.0308050875867334e-06,2.1327896076019328e-06,-2.1686547880226797e-06,-3.3901325452586315e-08,-5.569554177495319e-10,-5.930492249117301e-10,1.162944110899553e-08,-5.00823101689264e-08,-0.0006448960682520756,3.474332354251955e-06,3.7991131916812244e-06,1.2372178103789437e-05,0.00029537836854156847,-0.14131094874169645,4.175456099403429e-05,2.984065593106793e-05,-8.88987078066341,0.15489955614423365,-1.3977212579403627e-06,-2.7550641388394306e-07,-6.519779286126025e-07,-0.00014865591410421594,-3.0020377721606228e-05
dB/dt tg02,5.417258138571606e-06,2.480034533375794e-06,2.4703969868313577e-06,-9.65814722276446e-07,-3.6368752424882685e-08,-6.599423938727791e-10,-7.202858503751895e-10,8.753581947009383e-09,-3.2729668869205976e-08,-0.0004033285360339609,4.0962656602870065e-06,4.532951870707669e-06,5.4978316325871544e-05,0.0001869628134401899,-0.11368104377887865,3.474767305768413e-05,2.505748856312727e-05,-4.304735070372757,0.10108318184050442,-1.0329084638917004e-06,-4.410538894696266e-07,-8.698158798703885e-07,-7.750502893513434e-05,-1.9656575898407717e-05
dB/dt tg03,1.3864629298432815e-06,9.330601794372065e-07,9.574585075810933e-07,-8.601816256022369e-07,-9.16425276527928e-10,-1.8384040947711613e-10,-2.0229425590381726e-10,5.37535501020594e-09,-2.2565543675732774e-08,-0.00030107642480327166,1.040322201393614e-06,1.2350913551230475e-06,1.4533342691522091e-05,0.0001253388989835601,-0.10605418467402546,2.9812487881946772e-05,2.1533255392476493e-05,-3.3098209028594896,0.06954343609502915,1.3921748535045168e-07,1.610374898585325e-08,-1.5598754487449984e-07,-6.133385879503909e-05,-1.3572305466413626e-05
dB/dt tg04,-1.1310269013281612e-06,-1.3411793382387677e-07,-8.560372609108799e-08,-7.467245529678764e-07,1.9757742869137223e-08,1.2583421434575548e-10,1.363285788036514e-10,2.777208360004779e-09,-1.4439275136789906e-08,-0.00021471913359394877,-9.343585690910729e-07,-9.129329957892132e-07,-1.4286580833988352e-05,7.762695883670893e-05,-0.08986469732595467,2.4930872796883927e-05,1.7960750011851142e-05,-2.552213276846156,0.044334434849340826,8.142960071510202e-07,2.996980410914169e-07,3.0147853478800497e-07,-4.724462082289043e-05,-8.69716226074503e-06
dB/dt tg05,6.586828561480637e-07,5.254625946401814e-07,5.224339075908728e-07,-2.4311670518667736e-07,-4.579786645587337e-10,-1.0373851938237498e-10,-1.1564003744709945e-10,2.205164422993161e-09,-8.758281203462811e-09,-0.00012201670113304877,5.536079440890577e-07,6.800516927677067e-07,1.2684529568360205e-05,4.5423579120328395e-05,-0.05791568281939888,2.0477068150692257e-05,1.4668793977003865e-05,-0.9915251511120815,0.026745478636945003,2.855828765445253e-07,2.316363802744207e-08,-8.238376583989278e-08,-1.9481971129700966e-05,-5.281778285546878e-06
dB/dt tg06,7.470730023777671e-07,5.015461013246342e-07,4.908179602152214e-07,-1.0255809142586617e-07,-3.038591139969685e-09,-1.1203737916486455e-10,-1.245360317476667e-10,1.5843320549641372e-09,-5.768920776690402e-09,-8.011584364212624e-05,6.208743191562039e-07,7.403888197239372e-07,1.3923223619387463e-05,2.8983264346540744e-05,-0.042232009452697845,1.7500658191274583e-05,1.2444568733752064e-05,-0.49741694783685203,0.017517373785150742,1.989188291066059e-07,-9.352075628204289e-09,-1.1069887283333178e-07,-1.0275503336315362e-05,-3.4814567324511312e-06
dB/dt tg07,2.8367982010236652e-08,1.6275242987149719e-07,1.6408347585323712e-07,-1.264215610159771e-07,2.8128228891925146e-09,-1.6987678176835704e-11,-2.0033333087555645e-11,9.387293190562442e-10,-4.029528431241315e-09,-6.212775433903049e-05,2.2844232577285628e-08,8.440840052834683e-08,3.4110140267894363e-06,1.964721811226342e-05,-0.035185837141510266,1.5385041601623906e-05,1.0853154981465281e-05,-0.48102546877887636,0.012165320906731319,3.337654566676891e-07,7.34666333133349e-08,2.7775119815439237e-08,-9.456585325477483e-06,-2.432675359326297e-06
dB/dt tg08,-3.06189606576026e-07,-1.6872091010357442e-08,-1.0498361153340734e-08,-1.1797766155781105e-07,5.090261376509798e-09,2.9226935633890566e-11,3.0897454542487956e-11,4.958463395596228e-10,-2.6039730070499828e-09,-4.4614005129306475e-05,-2.612362472712357e-07,-2.3207996477156157e-07,-1.988233916241946e-06,1.2211306742500107e-05,-0.02714451578197714,1.3219206361920109e-05,9.221898304770534e-06,-0.39952403788559354,0.007797391574242618,3.58974444932447e-07,1.0515359076622132e-07,8.973101369245338e-08,-7.606446021835555e-06,-1.5722737678511379e-06
dB/dt tg09,-9.80644003486651e-08,3.305460543711442e-08,3.448039377423304e-08,-5.698367252123805e-08,2.3443553579411693e-09,5.909804411313122e-12,5.545372621000167e-12,3.407948554761072e-10,-1.5888064395381374e-09,-2.7649151450224885e-05,-9.982615993760506e-08,-6.613926995244011e-08,2.8160157691637396e-07,7.126701867122743e-06,-0.018326314347416515,1.1171606793681757e-05,7.680383640777135e-06,-0.20535775850450766,0.004706699708726765,2.4006778172767886e-07,6.544186423487241e-08,4.363146061188968e-08,-3.979826840697646e-06,-9.589278450577517e-07
dB/dt tg10,1.2420960604000065e-07,1.0332268494311483e-07,1.0020349306638985e-07,-1.126770016641311e-08,-2.1600410407188202e-10,-2.0369711974817338e-11,-2.3123574537781586e-11,3.0165642905351905e-10,-1.0598668111533235e-09,-1.7488394132052054e-05,7.703661570294993e-08,1.1927260796432124e-07,3.040423401861421e-06,4.5847302546104805e-06,-0.012609588002510634,9.758047646911489e-06,6.617554762993018e-06,-0.07010739730525906,0.00310856921066701,1.3691840963120412e-07,2.770525506716521e-08,-3.88367420089352e-09,-1.5181789747544174e-06,-6.391588134906114e-07
