,thk_00,thk_01,thk_02,thk_03,rho0_00,rho0_01,rho0_02,rho0_03,rho0_04,max_pha_00,max_pha_01,max_pha_02,max_pha_03,max_pha_04,tau_phi_00,tau_phi_01,tau_phi_02,tau_phi_03,tau_phi_04,c_00,c_01,c_02,c_03,c_04
dB/dt tg01,6.049470636019513e-06,1.3941208338117447e-06,1.4811491364144115e-06,-1.6273039819933285e-06,-6.438623590051098e-08,-8.136583255870849e-10,-8.91078311683755e-10,7.056711040650532e-09,-2.300618816188195e-08,-0.0008363910331280154,4.786198306234273e-06,5.301471770039238e-06,-3.1944370391982565e-05,0.00019117714790446976,-0.39333084635157584,3.093209606234443e-05,2.1969038399853632e-05,-8.228867269114344,0.10624409169691564,-1.6547311385438882e-06,-5.025834332213097e-07,-9.96508342891685e-07,-6.494997425793961e-05,-1.849641999986183e-05
dB/dt tg02,5.0518867143874e-06,1.1928042260857052e-06,1.262224031348727e-06,5.695662717876492e-07,-5.9032730910538624e-08,-6.573694990675109e-10,-4.443986886607843e-10,-1.0672460425088743e-09,-1.3017722036235001e-08,-0.0005240199627976762,3.867624699946434e-06,2.615184107570212e-06,0.00010954207310016178,9.902834141900986e-05,-0.31356501217413085,2.6025615701562433e-05,1.8905956618920735e-05,6.427328090514876,0.06006455736057294,-7.258201781476184e-07,-4.0793056710251726e-07,-4.461017997518097e-07,0.00011445842976384722,-1.0445684853041183e-05
dB/dt tg03,1.3248473100312338e-06,5.750946065847044e-07,6.002102677350018e-07,-5.664152667430685e-07,-4.539984086755317e-09,-2.3346716733967194e-10,-2.5178793999335494e-10,2.857607878079821e-09,-1.0139843742362872e-08,-0.00038281359180087753,1.2851676426346055e-06,1.451255558757092e-06,-6.353544490380176e-07,7.850022785346905e-05,-0.27535734661020134,2.245177737617172e-05,1.6444652286309476e-05,-2.320386736717834,0.04658742002148708,3.828949801371574e-07,-4.649428707622595e-08,-2.1705736861544212e-07,-1.3333823163076564e-05,-8.172355654756619e-06
dB/dt tg04,-9.234820278439243e-07,1.489983907283716e-07,1.4611813312138505e-07,-1.2829508652206802e-06,2.6687830188593202e-08,3.2942032638505544e-11,-1.354233495534357e-10,5.2298477434359535e-09,-7.5942896944756e-09,-0.00026602517189169524,-3.2851206740406124e-07,7.529615213313493e-07,-7.389269242386452e-05,6.052896663201428e-05,-0.22200553942220203,1.8870386974030454e-05,1.3850984516243792e-05,-8.024012520526588,0.034713833658487854,9.82046055515374e-07,1.6888858416198158e-07,-8.730733638598707e-08,-9.740688866052968e-05,-6.147574588131334e-06
dB/dt tg05,5.618220256298832e-07,2.677060469224688e-07,2.776561007944592e-07,4.399853476299363e-08,-2.005740624964963e-09,-9.732169127423477e-11,-6.328496251381025e-11,2.2423685304512827e-10,-3.5620150976299466e-09,-0.00015153937081794974,4.987229616138472e-07,3.330205394648775e-07,2.0004657822121082e-05,2.440604962471358e-05,-0.1450094751516604,1.560234436592429e-05,1.1430573608428396e-05,0.9573269437958689,0.016166325778334142,6.077107010746959e-07,1.689044867554745e-08,-1.3532486899832324e-08,1.9179310077702386e-05,-2.8719892952849262e-06
dB/dt tg06,6.293735688763062e-07,2.21712988639343e-07,2.3082751638194042e-07,2.424931044659771e-07,-5.428602145051222e-09,-9.126131244032247e-11,-3.3832268663765685e-11,-6.103181658384635e-10,-2.0633545941006646e-09,-9.88049391650179e-05,4.775531389757459e-07,1.631406706690051e-07,2.987310937637609e-05,1.2460112318152111e-05,-0.1048832951381248,1.3393114600429271e-05,9.754813165397417e-06,2.1366891898507343,0.009276823273360843,5.059634173113977e-07,2.9823120818039932e-09,1.1821031730660598e-08,3.284185296355366e-05,-1.659983177918857e-06
dB/dt tg07,1.3659244337041472e-08,9.860672256591096e-08,1.00297660466927e-07,-7.581483417145262e-08,3.3220047478433633e-09,-1.9562082860928733e-11,-2.0885158361484043e-11,4.722755432054769e-10,-1.7312977443557107e-09,-7.497023925954926e-05,4.714028980795209e-08,8.873610171689034e-08,1.2593765019167469e-06,1.1486612817555607e-05,-0.08451153063224497,1.1809524033869898e-05,8.536415304803593e-06,-0.25513227465379335,0.007748326105117454,5.583033078421989e-07,5.647785490593402e-08,1.9776672111150744e-08,-6.72750416968211e-07,-1.398918875082561e-06
dB/dt tg08,-2.7890667620903096e-07,2.5055677309535812e-08,2.2951475924225214e-08,-2.1235884774317268e-07,6.9580481549502225e-09,1.719071302255101e-11,-1.1264933975533342e-11,9.046247726590888e-10,-1.310063545025964e-09,-5.277026558340614e-05,-1.6784193214480488e-07,3.564981540966607e-08,-1.2269606894339583e-05,9.208744448505019e-06,-0.06330914860756943,1.0187270177316347e-05,7.2831850734448155e-06,-1.3301315473005675,0.005830664429647921,5.21004697051061e-07,7.727708127055228e-08,2.3380706571417077e-08,-1.616119908039232e-05,-1.0616197649626333e-06
dB/dt tg09,-9.425702783359579e-08,2.8137718083632602e-08,2.7509935319031745e-08,-7.217242014635628e-08,3.0581028630596608e-09,2.7959064148120085e-12,-5.174531546305455e-12,3.477305484036977e-10,-7.213273150250276e-10,-3.2337768678859895e-05,-6.856780032818029e-08,4.924152428720863e-09,-2.9878774928624014e-06,4.592344986345851e-06,-0.04218606558004154,8.654255582011545e-06,6.097357810785664e-06,-0.40724586645714966,0.0031631684156444148,3.7334165275924697e-07,5.134607957182675e-08,2.3109022403967382e-08,-4.4097956277638145e-06,-5.831372360113466e-07
dB/dt tg10,1.0892748107558463e-07,4.5274523723918816e-08,4.6549672564985856e-08,6.250702454273134e-08,-7.40183884093835e-10,-1.5642316990503443e-11,-2.6222750377748344e-12,-1.6766277803390614e-10,-3.408506262133118e-10,-2.031319030590345e-05,5.217052091599944e-08,-6.170387010889126e-09,6.780573467092981e-06,1.4528658989247116e-06,-0.02890644572612356,7.594533558407722e-06,5.277446541203395e-06,0.5126572579834604,0.0014464823617651326,2.532533702712544e-07,2.577100379727285e-08,2.098688031136068e-08,7.629732831835841e-06,-2.729887640832524e-07
